c1,c2,c3,c4,c5,c6,c7,c8,nrtg
1,1,0,0,2,0,0,1,1.6676124
0,0,0,2,1,0,1,1,1.6381644
1,1,0,1,0,0,2,0,1.6379981
0,3,1,0,0,0,0,1,1.6303089
1,1,1,0,2,0,0,0,1.6152672
1,0,2,1,0,0,0,1,1.6067582
0,0,0,2,0,0,3,0,1.5908436
0,0,0,3,0,0,2,0,1.5345967
0,0,1,2,0,2,0,0,1.508464
0,0,0,2,0,1,0,2,1.4745495
2,0,2,0,0,0,0,1,1.4704204
0,0,0,1,0,3,1,0,1.439641
0,0,0,1,0,1,1,2,1.4276805
0,1,0,1,2,0,1,0,1.4239953
1,1,1,0,1,1,0,0,1.419784
1,1,0,1,0,0,1,1,1.409257
1,1,0,0,1,0,1,1,1.3820108
2,1,0,0,0,2,0,0,1.3719883
1,0,0,0,1,0,1,2,1.3639469
1,1,1,1,0,0,0,1,1.3555422
2,1,0,0,0,0,2,0,1.3331475
0,1,0,1,1,1,0,1,1.3327098
0,0,1,1,0,3,0,0,1.3296952
1,1,1,0,1,0,1,0,1.3296657
0,0,3,2,0,0,0,0,1.3066525
0,0,1,2,1,0,1,0,1.3011941
1,2,0,0,0,1,0,1,1.2804303
0,1,0,3,1,0,0,0,1.2596203
0,0,0,2,0,2,1,0,1.244828
1,0,1,0,0,1,0,2,1.239644
0,0,0,1,1,1,1,1,1.2135231
1,0,3,0,0,1,0,0,1.2021815
0,0,0,0,2,1,0,2,1.187911
2,0,0,0,0,2,1,0,1.1663723
1,1,2,1,0,0,0,0,1.1647543
2,0,0,0,0,0,1,2,1.1369888
2,0,1,0,0,0,2,0,1.1367569
1,1,0,1,0,0,0,2,1.1202047
1,0,2,0,1,1,0,0,1.1193113
1,0,4,0,0,0,0,0,1.1120626
0,0,0,4,0,0,1,0,1.1083657
0,0,0,2,0,1,2,0,1.1020703
1,0,0,0,2,0,0,2,1.0949776
1,1,1,0,0,1,1,0,1.092113
0,1,1,1,1,0,0,1,1.0666926
1,1,0,0,0,1,1,1,1.0663934
1,0,2,0,1,0,1,0,1.0291919
1,0,3,0,1,0,0,0,1.0291919
1,0,2,0,2,0,0,0,1.0268646
0,0,1,1,2,1,0,0,1.014143
0,0,0,0,1,2,0,2,0.99747115
1,0,0,0,0,0,2,2,0.9886931
1,0,2,0,0,1,1,0,0.9755138
0,0,1,1,1,0,1,1,0.94750583
0,0,0,3,1,1,0,0,0.94296825
0,2,1,0,1,0,0,1,0.9427678
1,0,1,0,1,1,0,1,0.89387256
1,0,3,0,0,0,1,0,0.88539493
2,0,0,0,0,0,0,3,0.84323955
2,0,0,0,0,0,2,1,0.82998073
0,1,0,2,1,1,0,0,0.80551016
1,0,1,0,1,0,1,1,0.80375427
1,0,1,0,2,0,0,1,0.8014272
0,2,0,1,1,0,0,1,0.799065
0,0,0,1,0,2,2,0,0.7715806
0,3,0,0,2,0,0,0,0.7323884
1,1,0,0,1,0,0,2,0.72641444
0,1,0,2,0,1,0,1,0.72564596
0,1,0,0,0,2,0,2,0.71746147
1,2,0,0,0,1,1,0,0.70838255
0,0,0,3,1,0,1,0,0.67119884
0,0,0,0,1,1,1,2,0.6703789
0,1,1,2,0,0,1,0,0.66935146
0,2,0,2,0,0,0,1,0.6131234
1,1,1,0,0,1,0,1,0.60073733
0,1,0,0,1,1,0,2,0.57732385
0,0,1,2,0,0,1,1,0.57405055
0,2,0,2,1,0,0,0,0.57184625
0,0,0,2,1,0,0,2,0.5649636
0,1,0,2,1,0,1,0,0.55395466
0,0,0,0,0,3,0,2,0.51681113
0,1,0,1,1,0,1,1,0.50596803
0,2,1,0,1,0,1,0,0.50316155
0,0,2,1,1,0,0,1,0.4899824
0,0,0,1,1,0,1,2,0.4842959
2,0,1,0,0,0,0,2,0.43971905
1,1,1,0,1,0,0,1,0.43286383
0,0,2,1,0,2,0,0,0.43066436
1,1,2,0,0,1,0,0,0.40994933
0,1,1,1,1,0,1,0,0.376172
1,3,1,0,0,0,0,0,0.37227732
0,0,2,2,0,0,1,0,0.3396563
0,0,1,3,1,0,0,0,0.329539
2,0,1,0,0,2,0,0,0.32380316
1,1,3,0,0,0,0,0,0.3198309
0,1,3,1,0,0,0,0,0.3168087
1,0,0,0,1,1,2,0,0.27382284
1,0,1,0,0,1,1,1,0.27249613
0,1,2,1,0,0,0,1,0.26700017
0,1,0,3,0,1,0,0,0.24812946
0,0,0,2,1,1,1,0,0.23867264
0,0,0,4,0,0,0,1,0.21152657
0,0,3,1,0,0,0,1,0.19992381
1,2,0,0,0,0,1,1,0.19701862
0,0,1,1,0,2,1,0,0.18394038
1,1,0,0,0,0,1,2,0.17537948
1,0,1,0,1,0,0,2,0.14815807
0,1,1,0,2,0,0,1,0.14065406
0,1,0,1,1,1,1,0,0.12931365
0,2,1,0,0,0,1,1,0.12568235
0,1,1,3,0,0,0,0,0.12470648
0,0,0,0,0,2,1,2,0.11138499
1,1,1,0,0,0,1,1,0.10519284
1,1,2,0,0,0,1,0,0.09316325
1,0,0,0,0,1,3,0,0.0927403
0,0,3,1,1,0,0,0,0.09213966
0,1,0,2,0,0,1,1,0.06866467
0,1,0,0,2,1,0,1,0.060956687
0,2,0,3,0,0,0,0,0.047483087
0,1,1,1,0,0,1,1,-0.0013073683
1,0,0,0,3,1,0,0,-0.010832548
0,0,0,1,2,0,2,0,-0.010967612
0,0,0,0,1,3,0,1,-0.046521485
1,1,2,0,1,0,0,0,-0.056745112
0,1,2,1,1,0,0,0,-0.059767485
0,0,1,1,0,1,0,2,-0.086832166
0,0,1,1,1,0,0,2,-0.11331326
1,0,0,1,0,0,0,3,-0.1314727
0,1,0,0,1,2,0,1,-0.13957638
1,1,1,0,0,0,0,2,-0.14497703
0,1,1,0,2,0,1,0,-0.18305534
0,0,4,1,0,0,0,0,-0.19791895
1,0,1,0,0,0,1,2,-0.20657623
0,1,0,1,0,1,1,1,-0.22529584
1,0,0,0,1,0,3,0,-0.2282368
1,0,0,0,2,0,2,0,-0.230564
0,1,0,0,0,1,1,2,-0.24035305
1,0,0,0,0,1,0,3,-0.2564364
1,2,0,0,0,0,0,2,-0.26203185
0,0,1,0,2,0,1,1,-0.26579916
0,0,2,3,0,0,0,0,-0.28869087
0,2,0,1,0,1,0,1,-0.29312938
0,0,1,1,1,1,0,1,-0.30473053
1,0,0,0,1,2,1,0,-0.30800885
1,0,0,0,1,3,0,0,-0.30800885
0,3,0,1,0,0,0,1,-0.3161919
0,1,0,0,0,3,0,1,-0.32653075
0,0,0,0,2,1,1,1,-0.34549636
0,1,0,1,1,0,0,2,-0.3565178
0,3,0,0,1,0,0,1,-0.39052778
0,0,1,2,1,1,0,0,-0.39312375
0,2,0,1,1,0,1,0,-0.40433085
1,0,0,0,0,0,4,0,-0.40931916
0,0,0,0,2,2,0,1,-0.4099415
1,0,0,0,0,2,0,2,-0.41122967
0,1,0,3,0,0,1,0,-0.42906594
1,0,2,0,0,1,0,1,-0.43125147
0,2,0,1,1,1,0,0,-0.46508706
0,0,0,2,0,1,1,1,-0.4656011
0,0,0,1,1,0,2,1,-0.4712503
1,0,0,0,1,2,0,1,-0.49229145
0,0,1,2,0,0,0,2,-0.4960004
0,1,0,0,2,0,1,1,-0.514871
1,0,3,0,0,0,0,1,-0.5213698
0,0,0,0,0,4,0,1,-0.5271814
0,0,0,0,1,2,1,1,-0.5359359
0,2,2,0,0,1,0,0,-0.5616425
1,0,0,0,4,0,0,0,-0.5682205
1,0,0,0,3,0,1,0,-0.5682205
